보관소(대여소)명,상세주소,위도,경도
남산공원 야외식물원 앞,서울특별시 용산구 이태원동 259-16,37.54188538,126.9958649
LG한강 자이아파트 앞,서울특별시 용산구 이촌동 429,37.52074814,126.9708252
이촌역2번 출구,서울특별시 용산구 용산동5가 17,37.52177048,126.977005
순천향대학병원(한남오거리),서울특별시 용산구 한남동 704-11,37.53514099,127.0060043
브라운스톤 남산아파트,서울특별시 용산구 후암로 65 브라운스톤 남산아파트,37.551548,126.9768601
서빙고역 광장(1번출구),서울특별시 용산구 서빙고동 241-37,37.51990891,126.9892349
노들섬 동측 앞,서울특별시 용산구 이촌동 303-8,37.51729584,126.9591446
노들섬 서측 앞,서울특별시 용산구 이촌동 304-11,37.51731873,126.9582977
 숙명여대앞 버스정류소 주변,서울특별시 용산구 청파로47길 99,37.54498672,126.9643021
 한강GS에클라트 건너편 교통섬,서울특별시 용산구 원효로4가 113-54,37.53200531,126.9555588
 원효로다목적체육관 앞,서울특별시 용산구 원효로3가 54-14,37.5332222,126.9572372
" 노들섬 다목적홀(동쪽) 숲, 앞",서울특별시 용산구 이촌동 303-15,37.51758957,126.9592209
 국립중앙박물관 -용산가족공원 앞,서울특별시 용산구 용산동6가 11-438,37.52087784,126.9797134
 국립중앙박물관 정문 앞,서울특별시 용산구 용산동6가 11-438,37.52145767,126.9776764
 파크타워 104동 앞,서울특별시 용산구 서빙고로 69 파크타워아파트,37.52330017,126.9720612
 한남나인원 105동 앞,서울특별시 용산구 한남대로 91,37.53591919,127.0054169
 국제루터교회 앞,서울특별시 용산구 한남대로 148,37.54143906,127.0037613
 한남 준 JFSS 앞,서울특별시 용산구 이태원로 255,37.53749847,127.0008469
 서울갤러리아 앞,서울특별시 용산구 이태원로 239,37.53599548,126.9994888
 크라운호텔앞 버스정류소,서울특별시 용산구 녹사평대로 140,37.53030014,126.9913788
 신용산지하차도 앞,서울특별시 용산구 한강로3가 6,37.53248215,126.964119
 동원베네스트 건너편,서울특별시 용산구 한강로3가 37-2,37.52761078,126.9551163
 풍전아파트 건너편,서울특별시 용산구 원효로4가 114-38,37.53237915,126.9525299
 한강트럼프월드3차 앞,서울특별시 용산구 한강대로 26,37.52301788,126.96241
 삼각지역 14번 출구 앞(교통섬),서울특별시 용산구 이태원로 6,37.53528595,126.974083
 남산도서관 앞,서울특별시 용산구 소월로 109 남산도서관,37.55240631,126.9820175
 한강중학교 앞 버스정류장,서울특별시 용산구 녹사평대로73,37.5251503,126.9920883
 라인프랜즈이태원점 앞,서울특별시 용산구 이태원로 177 6호선 이태원역,37.53453064,126.9961929
 용산공원갤러리앞,서울특별시 용산구 한강로1가 1-1,37.5393219,126.9731903
 효창공원앞역 5번출구 옆,서울특별시 용산구 용문동 5-47,37.53851318,126.9635544
 한강초교보도육교 앞,서울특별시 용산구 한강대로 52-1,37.52544022,126.9645996
 용산 푸르지오 파크타운 1단지 앞,서울특별시 용산구 용산구 동빙고동 315,37.52529526,126.9958344
 센트럴파크타워 앞,서울특별시 용산구 한강로2가 220-4,37.52703476,126.9661789
 이태원역 3번 출구,서울특별시 용산구 이태원로 186 국민은행,37.53440094,126.9946671
 용산구꿈나무종합타운 앞,서울특별시 용산구 원효로2가 1-73,37.53786087,126.9656525
 용산시티파크 101동 앞,서울특별시 용산구 한강로3가 64,37.52468109,126.9681931
 청파동삼거리 앞,서울특별시 용산구 청파로 312,37.54733658,126.9703827
 동빙고근린공원,서울특별시 용산구 용산동6가 69-170,37.51794052,126.9837036
 원효로2가 교차로,서울특별시 용산구 원효로53길 4,37.53577805,126.9622116
 아메리칸센터,서울특별시 용산구 이태원로 59,37.54039001,126.9734955
 용산더프라임아파트 101동 앞,서울특별시 용산구 문배동 44,37.53930283,126.9705048
한가람아파트 앞,용산구 이촌동 301-5,37.5202713,126.9733505
 응봉역 1번출구,서울특별시 성동구 고산자로 123 응봉동 3-10,37.55125046,127.0351028
 상왕십리역 1번출구,서울특별시 성동구 하왕십리동 860-1 상왕십리역 1번출구,37.56460953,127.0291977
 왕십리교회옆,서울특별시 성동구 상왕십리동 350-1 왕십리교회옆,37.56626129,127.0236969
 서울숲 관리사무소,서울특별시 성동구 성수동1가 678-1 서울숲 관리사무소,37.54281616,127.0420837
 금호스포츠센터앞,서울특별시 성동구 금호로 30 독서당 인문아카데미센터,37.54608917,127.0250702
 왕십리 자이아파트(101동 앞),서울특별시 성동구 난계로 100 왕십리 자이아파트 103동 인근,37.56179047,127.0243912
