정류소명,경도,위도
종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439
사우디대사관앞.경남빌라,126.9850312,37.58410567
안국선원.삼거리,126.9849941,37.58279098
구기터널입구,126.9567769,37.60820461
종로3가.1.3.5호선,126.9920932,37.57108758
경복궁,126.9793378,37.57695016
소나무집,126.9641105,37.61127707
독립문역3번출구,126.9597453,37.57287848
청룡사.보문파크뷰자이아파트,127.0170071,37.58001895
북촌한옥마을입구.정세권활동터,126.9849422,37.58159973
종로1.2.3.4가동주민센터,126.9911314,37.57438371
창덕궁,126.99062,37.57608925
아름다운실버,126.9654637,37.61201006
독립문초등학교,126.9606775,37.57386997
종로센트레빌아파트,127.0156927,37.58035344
가회동주민센터,126.9849543,37.57997294
구기빌라,126.9579797,37.60626861
원남로터리,126.9975115,37.57623737
보현산신각,126.9657791,37.61348252
린덴바움숲유치원,126.961804,37.57466928
쌍용아파트입구.창신역,127.0149636,37.58051123
아름다운가게.정독도서관,126.9851272,37.57894808
산정빌라,126.9574922,37.60515199
이화사거리,127.0020915,37.57650956
박종화고택입구,126.9676873,37.61431026
무악현대아파트후문,126.9619412,37.57633723
헌법재판소.안국역,126.9858152,37.5773872
청구빌라,126.956984,37.60461026
서울대어린이병원응급실.갑상선센터,126.999503,37.57811888
화인빌라,126.9685386,37.61293453
넓은마당,126.962888,37.57527281
창신초등학교,127.0153886,37.5769032
수운회관,126.9866693,37.57521894
상명대후문,126.9573354,37.60402558
힐탑,126.9690206,37.61160556
신학대학교총회본부,126.9634446,37.57397631
낙원상가,126.9874149,37.57375637
완성빌라,126.9575011,37.60340209
서울대병원장례식장,126.997431,37.5805554
혜화역1번출구,127.0017633,37.58347299
감나무골공원,126.9699479,37.61240596
한국사회과학자료원.이회영기념관,126.9641239,37.57366701
동묘역,127.0142454,37.57269435
금강제화,126.9875484,37.57057137
경진빌라,126.9578304,37.60200372
성대입구,126.9992849,37.58335331
청와대,126.9737681,37.5829713
춘추문,126.9796554,37.58312761
경복궁.국립민속박물관,126.9795911,37.57941352
효자로입구(가상),126.9744666,37.57628833
EN갤러리,126.9706087,37.6134218
유림회관앞,126.9969805,37.5858956
성균관대정문,126.9966204,37.58495635
600주년기념관,126.9939426,37.5873281
성균관대운동장,126.99237,37.587863
학생회관,126.9936746,37.58742039
종로문화센터,126.9645321,37.57469356
동대문역.2번출구,127.0117218,37.57204945
종각역YMCA,126.9850893,37.57039764
서교빌라,126.9571554,37.60198906
경복궁역,126.9724733,37.57707221
성대입구,126.998853,37.5832668
무애사,126.9718458,37.61390043
단군성전앞,126.9653175,37.57556009
동대문종합시장,127.004958,37.57121613
상명초등학교,126.9567154,37.60092381
법련사,126.9796651,37.57658798
광화문새마을금고,126.9710277,37.57949309
성균관대학교,126.996646,37.584886
참샘골공원,126.9742525,37.6146097
활터앞,126.9653294,37.57681261
종로5가역.중부교육지원청,127.0020898,37.57141925
인사동들머리.3.1독립선언터,126.983297,37.57194702
정독도서관,126.9800805,37.58026054
오거리.한옥마을입구,126.9697393,37.57946844
평창공원지킴터입구,126.9757439,37.6163964
창경궁.고궁호텔.메이플레이스호텔,126.9974492,37.57655816
광화문,126.9755695,37.57033749
종로1가,126.980129,37.57037
종로2가,126.9864618,37.57008246
종로3가역11번출구,126.9932082,37.5706349
종로3가,126.9909932,37.57010243
종로4가,126.9962507,37.57046926
동대문종합시장종로6가,127.0032912,37.5708648
종로도서관,126.9671252,37.57648423
경복궁역,126.9715056,37.57617809
경복궁역7번출구,126.971682,37.57581917
안국역,126.9852296,37.57661375
안국역,126.985506,37.57631851
창덕궁,126.9889001,37.57752042
성대입구,126.9992358,37.5832828
종로사우나,126.9877504,37.57380111
엄마분식,126.9557163,37.60124243
삼청파출소,126.9813258,37.58164517
통인시장.종로구보건소,126.9687505,37.58033503
종로5가역.광장시장,127.000039,37.57077247
평창동산림제3초소,126.9771031,37.61735605
배화여중고,126.9676986,37.57677876
대학로입구.이화사거리,127.0025802,37.57598417
운현궁,126.9869814,37.57527161
상명대입구,126.9569583,37.60002101
삼청동주민센터,126.9822105,37.58468468
박노수미술관,126.9668945,37.58102656
김창열.윤명로화실,126.9783685,37.616305
사직공원.경복궁역입구,126.9689039,37.57622069
충신시장,127.0054049,37.57497665
안국역2번출구앞,126.9861183,37.57717282
금융연수원,126.9818479,37.58587767
감람산기도원,126.979873,37.61594393
카센터.터널앞,126.9658895,37.57409862
재동초등학교,126.9853617,37.57879109
삼청공원삼거리.옥호정터,126.9817445,37.58741852
이화사거리,127.0022813,37.57532007
연화정사,126.9794938,37.614649
대신중고,126.9616893,37.57261781
현대사거리,126.9866354,37.57924178
교남동주민센터,126.9613278,37.57218198
부암동주민센터.무계원,126.9637682,37.59293534
형제봉입구,126.9816862,37.61286432
교남동새마을금고,126.9623375,37.57149436
창신초교,127.0157201,37.57603721
가회동주민센터,126.9851294,37.57994265
볼링장,126.9879589,37.57925544
석파정.서울미술관,126.9637824,37.59476432
지구촌교회,126.9792421,37.61310603
월암공원,126.9646919,37.57122609
숭인1동주민센터,127.0155607,37.577415
북촌한옥마을입구.정세권활동터,126.9851687,37.58128077
하림각,126.9629664,37.59768473
보현빌라,126.9784206,37.61538226
스위스대사관,126.9656961,37.57014132
안국선원.삼거리,126.9852205,37.58274325
세검정교회,126.9600292,37.59938802
혜화동로터리,127.0010032,37.58591961
김종영미술관,126.9781123,37.61326379
서울시교육청,126.9666999,37.56938168
창신쌍용1단지.종로센트레빌아파트,127.0155693,37.58032282
사우디대사관,126.9852486,37.58386331
상명대입구,126.9574023,37.59985447
혜화초등학교,126.9999909,37.58738929
강북삼성병원,126.9683377,37.56853152
청룡사.보문파크뷰자이아파트,127.0171509,37.57978465
감사원,126.9855618,37.58626565
국민생활관,126.9993138,37.5896276
종로센트레빌후문.e편한세상보문아파트,127.0162354,37.58189784
통일부,126.9861073,37.58753085
서울국제고등학교,126.9971408,37.58907429
성대후문.와룡공원,126.989734,37.58915228
상명초등학교,126.9568174,37.60090493
새마을금고,126.996569,37.58784069
경진빌라,126.9579482,37.60186409
명륜시장.성대후문,126.9952305,37.58872461
완성빌라,126.9576665,37.60333997
양현관,126.9937686,37.589768
상명대후문,126.9574634,37.60407158
샘미용실.종로구청소년상담복지센터,126.9934084,37.59025457
산정빌라,126.9575782,37.60528358
구기빌라,126.9579809,37.60613345
마트앞,126.9587565,37.60669871
국민은행.세검정지점,126.9608727,37.60495417
혜화역4번출구,127.0015539,37.58350804
방송통신대앞,127.0019927,37.57869736
서울대치과대학,126.997801,37.5774083
효제초교.연동교회.김마리아활동터,127.0022088,37.57364134
성균관대학교,126.9900036,37.58846387
서울대치과대학,126.9978632,37.57757273
이화사거리,127.0020085,37.57694834
서울대학교병원현관.암병원현관,126.9981632,37.57908728
종각.공평유적전시관,126.9832427,37.57159379
조계사,126.9831364,37.57360211
동대문역JW메리어트동대문호텔,127.0092821,37.57063698
대학로,127.0021204,37.58189612
창경궁,126.9964163,37.57915963
창덕궁,126.9901776,37.57753017
인사동.북촌,126.9837978,37.57589502
경복궁.국립민속박물관,126.9795487,37.57933918
세종문화회관,126.976912,37.57313885
통인시장,126.9713316,37.57911876
세종문화회관,126.9770139,37.57315586
종각역,126.9828944,37.56937996
인사동.탑골공원,126.9888006,37.57011554
종묘.세운상가,126.9934997,37.57037362
광장시장,126.9996789,37.57075214
동묘.숭인동도깨비시장,127.0180439,37.5734766
서울풍물시장,127.0231781,37.57334003
청와대,126.97376,37.58268481
남대문세무서,126.9875299,37.56498481
국가인권위.안중근활동터,126.9878515,37.56435047
서울역버스환승센터,126.9722571,37.55514602
서울역버스환승센터,126.9725925,37.55540298
서울역버스환승센터,126.9727238,37.55538899
서울역버스환승센터,126.9728548,37.55547941
서울역버스환승센터.강우규의거터,126.9729403,37.55541416
숭례문,126.9737784,37.55863886
숭례문(가상),126.9743556,37.55979677
서울시청,126.9806321,37.56613826
만리동고개,126.9626582,37.55178706
손기정체육공원입구,126.9662339,37.55444595
서울의료보건고등학교.서울역서부,126.9689026,37.5558479
서울역서부,126.9691514,37.55623764
서울역서부,126.969293,37.555855
중림동교차로,126.9691354,37.55838363
종근당.충정로역,126.9645408,37.55964888
한국경제신문사.서소문역사공원,126.967868,37.56021115
한국경제신문사.서소문역사공원,126.9681135,37.56062347
경찰청.동북아역사재단,126.9691267,37.56304949
장충동써미트호텔,127.006675,37.56227366
서대문경찰서.농협은행.유관순활동터,126.9677868,37.56490628
염천교,126.9731141,37.55986963
숭례문,126.9733579,37.55840106
숭례문.한국일보,126.9737376,37.55877131
후암삼거리,126.9759938,37.5534056
숭례문,126.9743627,37.55876338
숭례문,126.9740437,37.55841953
숭례문,126.9736279,37.55800065
남대문시장악세사리전문상가,126.9759977,37.5588724
숭례문남산방향,126.9756721,37.55855816
남대문시장,126.9800598,37.56119108
북창동.남대문시장,126.9786225,37.5612915
시청앞,126.9764437,37.56219717
삼성본관앞,126.9759075,37.56205175
시청서소문2청사,126.9761487,37.56276421
